,id,challange,option_1,option_2,option_3,option_4,option_5,correct_id,difficulty
0,0,lull :: trust,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion,3,advanced
1,100,swarm :: bee,school :: fish,venison :: deer,oxen :: cow,peak :: mountain,skin :: lion,1,medium
2,101,obtain :: steal,quest :: search,ask :: interrogate,testify :: perjure,buy :: sell,ask :: donate,3,advanced
3,102,inadvertent :: thought,ironic :: wrath,proud :: prize,artistic :: work,ungainly :: skill,prolific :: design,4,hard
4,103,parsimony :: philanthropy,carnal :: active,prejudice :: tolerance,generosity :: kindness,rivalry :: noise,liveliness :: patience,2,advanced
5,104,devotion :: obsession,ability :: skill,confidence :: conceit,intelligence :: capability,surprise :: horror,pleasure :: blessing,2,hard
6,105,bequest :: heir,gift :: recipient,huge :: weight,painting :: artist,payment :: donor,measure :: gauge,1,medium
7,106,prosaic :: epic,normal :: mean,powerful :: omnipotent,ephemeral :: eternal,octagon :: eight,beneficent :: strong,3,hard
8,107,corroded :: alloy,broken :: contract,written :: rule,outdated :: book,adjusted :: clock,corrupted :: morality,5,hard
9,108,depose :: king,eulogize :: hero,inaugurate :: mayor,promote :: general,unfrock :: minister,elect :: leader,4,hard
10,109,gauche :: adroit,weak :: strong,formidable :: strong,round :: square,sharp :: pointed,stately :: grand,1,medium
11,110,archeology :: science,ridge :: mountain,pride :: lion,oxen :: cow,chair :: furniture,mammal :: horse,4,hard
12,111,apprehensive :: petrified,happy :: hostile,elated :: deaden,sincere :: satisfied,emotional :: accord,cheerful :: hilarious,5,hard
13,112,stay :: depart,take :: move,stagnate :: flow,run :: walk,sleep :: rest,create :: design,2,easy
14,113,stammer :: speech,ovation :: adulation,hobble :: movement,generosity :: kindness,fighting :: noise,brightness :: sight,2,hard
15,114,corpulence :: obesity,ability :: question,enigma :: puzzle,intelligence :: capability,strong :: weak,pleasure :: blessing,2,hard
16,115,callow :: experience,painting :: artist,heavy :: weight,barren :: fruit,gift :: donor,measure :: ounce,3,advanced
17,116,indolent :: assiduous,normal :: mean,powerful :: omnipotent,abstemious :: overindulgent,rife :: vogue,beneficial :: strong,3,medium
18,117,strident :: sound,fragrant :: flower,acrid :: taste,outdated :: book,adjusted :: clock,broken :: glass,2,hard
19,118,rehearsal :: impromptu,selection :: decisive,food :: alive,promotion :: public,comment :: eulogize,congregation :: alone,5,hard
20,119,lynch :: execute,interrogate :: prosecute,deface :: kill,testify :: subpoena,good :: bad,steal :: confiscate,5,hard
21,12,fathom :: depth,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale,3,advanced
22,120,audible :: blaring,silent :: loud,annoying :: obnoxious,clear :: ostentatious,legible :: published,edible :: poisonous,2,medium
23,121,insubordination :: punishment,evening :: night,earthquake :: tornado,candor :: falsehood,heroism :: praise,fine :: penalty,4,medium
24,122,enthusiast :: fervor,soldier :: strength,prisoner :: remorse,expert :: skill,servant :: obedience,parent :: wisdom,3,medium
25,123,novice :: experience,pauper :: wealth,vehicle :: wheels,drop :: out,weather :: mutability,nurse :: information,1,medium
26,124,talisman :: charm,omen :: evil,garb :: rank,signal :: warning,visage :: countenance,hate :: love,4,advanced
27,125,progenitor :: descendant,stem :: leaves,teacher :: student,mother :: aunt,cloud :: rain,parent :: offspring,5,easy
28,126,dearth :: abundance,retribution :: infamy,death :: funeral,poverty :: wealth,contempt :: anger,ruse :: plan,3,hard
